a,b,bits,window,sum
1851011279,-1394108728,32,16,456902551
33056258,1027913679,32,16,1060904401
-472495876,-1542876107,32,16,-2015371983
-544225105,986218895,32,16,441928254
1022006649,138587635,32,16,1160528748
-1726933753,-2085825797,32,16,482207746
1493791397,30292582,32,16,1524083979
157819863,1139794518,32,16,1297548845
982460015,1872166328,32,16,-1440406489
-163542090,-2065175499,32,16,2066184171
-1785793467,-478144308,32,16,2030963985
630434225,1134019268,32,16,1764387957
-1699935689,615601629,32,16,-1084334060
1372438997,2061934519,32,16,-860659316
-176443163,149542599,32,16,-26966100
-73302561,1196758992,32,16,1123456431
1997180560,-339359714,32,16,1657755310
124117954,-1558863097,32,16,-1434810679
651865833,1359040062,32,16,2010905895
1324864347,-2048528858,32,16,-723730047
-2137552503,-932908481,32,16,1224440776
-909568141,-1749345868,32,16,1636053287
-971137611,-1825710796,32,16,1498053353
283448836,-774640519,32,16,-491257219
1765549580,1644767173,32,16,-884650543
-1749929626,1648827653,32,16,-101101973
-188785860,1249995121,32,16,1061209261
1879084056,1547092120,32,16,-868856656
1355462845,-1610694275,32,16,-255296966
1475843491,-1146210119,32,16,329633372
-429204149,1853049265,32,16,1423779580
70849961,-629085396,32,16,-558300971
2087438743,-1552210061,32,16,535228682
-1213982056,1845381428,32,16,631399372
-1599003295,1186446543,32,16,-412556752
-622742258,-1503677756,32,32,-2126420014
572483210,635599917,32,32,1208083127
-1935664896,-163717280,32,32,-2099382176
-947152895,1939740991,32,32,992588096
2055736088,-1560375805,32,32,495360283
1695499777,-1565628527,32,32,129871250
-272041452,2128447477,32,32,1856406025
816897711,422810317,32,32,1239708028
-1622708423,427091781,32,32,-1195616642
740229073,1718331606,32,32,-1836406617
170010897,-1379818487,32,32,-1209807590
-631080329,-1457528506,32,32,-2088608835
712692829,-1862392299,32,32,-1149699470
704992434,1227386281,32,32,1932378715
1723884586,-666050447,32,32,1057834139
-1563581922,-162531291,32,32,-1726113213
-656422719,1753244205,32,32,1096821486
-316673538,1245652253,32,32,928978715
394999805,-2047325536,32,32,-1652325731
-342981897,1246243008,32,32,903261111
680783101,2033521615,32,32,-1580662580
913647785,-257243778,32,32,656404007
-1948763859,828585673,32,32,-1120178186
-1691893892,721901721,32,32,-969992171
-1410862061,-1146342865,32,32,1737762370
1055680278,1832573987,32,32,-1406713031
2035761898,2078279712,32,32,-180925686
517993958,-1840496922,32,32,-1322502964
-590561583,-1037287125,32,32,-1627848708
-823487244,1108041740,32,32,284554496
1508242295,-965307544,32,32,542934751
1087445630,1332305667,32,32,-1875215999
-336072694,1979374923,32,32,1643302229
-277048993,1038457963,32,32,761408970
-252070447,-986371943,32,32,-1238442390
1666538011,-438123459,32,32,1228414552
-1955853281,-2030670974,32,32,308443041
-1625764486,1016554424,32,32,-609210062
-1944487655,485460701,32,32,-1459026954
700645353,-1633915040,32,32,-933269687
-2142814014,-1706681447,32,32,445471835
-2080940785,-1619793658,32,32,594232853
1018789383,671291917,32,32,1690081300
256080616,1858268642,32,32,2114349258
-1535690657,657652088,32,32,-878038569
1989035474,-1958512414,32,32,30523060
180702223,320238203,32,32,500940426
279021963,-1353510248,32,32,-1074488285
1624758856,-1691772498,32,32,-67013642
-429225258,-1498830763,32,32,-1928056021
1934242209,-1299656245,32,32,634585964
-89637618,-500135177,32,32,-589772795
1185263032,-930484678,32,32,254778354
866964501,-1030885506,32,32,-163921005
1306474602,1667292294,32,32,-1321200400
-1816637408,-1417555771,32,32,1060774117
1014664397,1746855824,32,32,-1533447075
67161624,-1922501535,32,32,-1855339911
1307010777,-860353998,32,32,446656779
434229514,41032196,32,32,475261710
-871991448,1973032860,32,32,1101041412
2062219504,-348200298,32,32,1714019206
713827228,768962894,32,32,1482790122
-2052407691,-1063261642,32,32,1179297963
1987312430,-50776529,32,32,1936535901
1434342165,9384955,32,32,1443727120
16867541,-1928493872,32,32,-1911626331
635527007,1342035539,32,32,1977562546
557249197,93302557,32,32,650551754
1933895665,2045903006,32,32,-315168625
-1177074494,214284381,32,32,-962790113
1055555698,-377350331,32,32,678205367
-647104127,167223154,32,32,-479880973
1323398320,-2110433493,32,32,-787035173
-1828540749,-648876649,32,32,1817549898
691676229,-455848933,32,32,235827296
-1014186170,1581394619,32,32,567208449
-862101408,-1914828786,32,32,1518037102
1521311666,-1741938605,32,32,-220626939
1213458605,-1907675887,32,32,-694217282
1654480341,-2083603691,32,32,-429123350
-1101195752,782684209,32,32,-318511543
504747193,1927149588,32,32,-1863070515
-360789313,-750016852,32,32,-1110806165
-1166162642,-2065977167,32,32,1062827487
-1571311599,-1715525020,32,32,1008130677
-659546737,-1547855900,32,32,2087564659
-1403016201,-382108201,32,32,-1785124402
1982201097,2024748667,32,32,-288017532
1982371338,-705233140,32,32,1277138198
-847334306,1256735288,32,32,409400982
284082640,-1108002692,32,32,-823920052
-1324268543,-1448927841,32,32,1521770912
-1275807422,1002204608,32,32,-273602814
158286804,-182885504,32,32,-24598700
1745236359,424314998,32,32,-2125415939
-1449893843,506259496,32,32,-943634347
141131134,-642322719,32,32,-501191585
-840774398,1906912437,32,32,1066138039
952844743,982489470,32,32,1935334213
1012432030,45101404,32,32,1057533434
1751676458,924306009,32,32,-1618984829
1829412787,1489852346,32,32,-975702163
-2127039124,376406516,32,32,-1750632608
956193004,789419491,32,32,1745612495
-1491102435,1603505993,32,32,112403558
1078277139,-2046512522,32,32,-968235383
-195994372,-1789817434,32,32,-1985811806
1535885791,1854740956,32,32,-904340549
1403062656,-982356697,32,32,420705959
-263777958,868674870,32,32,604896912
-1382112699,107657970,32,32,-1274454729
1522563659,-1495525853,32,32,27037806
-430954630,-363977523,32,32,-794932153
946757872,232963556,32,32,1179721428
247032057,-443266541,32,32,-196234484
81111032,-227577025,32,32,-146465993
254751577,-2061758218,32,32,-1807006641
-1886500959,-2078246660,32,32,330219677
354927986,-2005544933,32,32,-1650616947
-304547275,946649751,32,32,642102476
-688252047,-1006401356,32,32,-1694653403
-1970265732,194011902,32,32,-1776253830
726379942,567555322,32,32,1293935264
1955202795,1546036745,32,32,-793727756
-516426888,2035290275,32,32,1518863387
1122955447,-809428680,32,32,313526767
-267229896,1557945928,32,32,1290716032
-10358106,2017037597,32,32,2006679491
1917279763,-71457175,32,32,1845822588
998166292,1946073596,32,32,-1350727408
-1780925533,1767759257,32,32,-13166276
-831078288,1277820658,32,32,446742370
-1266642983,-1704058759,32,32,1324265554
1690262404,1329375033,32,32,-1275329859
-167431054,390458780,32,32,223027726
2035284152,-1672132356,32,32,363151796
565693058,1490600196,32,32,2056293254
-1115285319,1308354848,32,32,193069529
1333988834,1032460148,32,32,-1928518314
1260768645,-130144729,32,32,1130623916
-1712104855,-1878925490,32,32,703936951
-1974105030,-425166047,32,32,1895696219
1032128883,1300852219,32,32,-1961986194
1052141863,1624279471,32,32,-1618545962
-975559303,1692623577,32,32,717064274
-686352037,1269481243,32,32,583129206
1737941832,11502267,32,32,1749444099
1005362326,194214448,32,32,1199576774
1520626863,-1554687872,32,32,-34061009
423724531,171814767,32,32,595539298
-6973241,-737098159,32,32,-744071400
777146026,488568532,32,32,1265714558
-394251738,-1659930561,32,32,-2054182299
-428757178,736936143,32,32,308178965
-1774262508,-778655203,32,32,1742049585
580473614,-215574019,32,32,364899595
1667724485,1967486651,32,32,-659756160
1930158556,-243260733,32,32,1686897823
-1378492980,1431811902,32,32,53318922
1962294838,-1275326736,32,32,686968102
-688562040,-1203780211,32,32,-1892342251
-1926481278,1767185288,32,32,-159295990
2071429431,-1669638818,32,32,401790613
-2089274676,1253238075,32,32,-836036601
2126738412,2094371236,32,32,-73857648
-1657269522,-859547465,32,32,1778150309
1908506192,961059771,32,32,-1425401333
1095604953,1416246100,32,32,-1783116243
608209165,912892962,32,32,1521102127
-62773586,1939704254,32,32,1876930668
-627094839,-1262882357,32,32,-1889977196
-659550028,151880115,32,32,-507669913
1248136158,-1479868230,32,32,-231732072
-1258357231,1750800846,32,32,492443615
994642169,-82703388,32,32,911938781
-518972930,1579315871,32,32,1060342941
-1777395696,-2058604621,32,32,458966979
1170403731,-160957143,32,32,1009446588
-89407336,205797520,32,32,116390184
-804186926,1534414131,32,32,730227205
1212822330,691659901,32,32,1904482231
2125986035,1842865446,32,32,-326115815
-44445966,-1998495986,32,32,-2042941952
-2012653940,1143666888,32,32,-868987052
-416825184,-1842567515,32,32,2035574597
-1937469150,1772023086,32,32,-165446064
726419595,-569023492,32,32,157396103
-902251637,-607256637,32,32,-1509508274
1926529088,982408205,32,32,-1386030003
-718223562,-2122855243,32,32,1453888491
-1828509367,-1387237733,32,32,1079220196
-1248180234,397898269,32,32,-850281965
1524039106,-2086684575,32,32,-562645469
-1098371264,1743187686,32,32,644816422
-2045600203,-355876095,32,32,1893490998
283848197,-559368312,32,32,-275520115
899353402,1410544572,32,32,-1985069322
-888795283,-1476744786,32,32,1929427227
-1887738106,-702425218,32,32,1704803972
-897177177,-2141343349,32,32,1256446770
1088145681,514921138,32,32,1603066819
1888021910,1910878113,32,32,-496067273
1117436874,268979901,32,32,1386416775
-629268691,-1933087751,32,32,1732610854
164141449,-506703647,32,32,-342562198
1684256431,-783403736,32,32,900852695
1556756663,-239546866,32,32,1317209797
-1217092683,1679242821,32,32,462150138
-1722889128,-192543907,32,32,-1915433035
1555492008,246174002,32,32,1801666010
-1825222363,-1094774006,32,32,1374970927
-479161125,-1832745256,32,32,1983060915
-2016826229,1027807791,32,32,-989018438
1194366744,1519385131,32,32,-1581215421
306117080,1549312493,32,32,1855429573
-1604314031,-174024908,32,32,-1778338939
598545558,-1002522028,32,32,-403976470
1205797441,1642355807,32,32,-1446814048
1401988453,2007256820,32,32,-885722023
-1942683581,-1969213134,32,32,383070581
1383025705,637680054,32,32,2020705759
990154425,-1597249502,32,32,-607095077
167298374,-658083968,32,32,-490785594
1737338026,-1012599915,32,32,724738111
1685703348,94572410,32,32,1780275758
-866106982,344685720,32,32,-521421262
-2033452361,540919480,32,32,-1492532881
-567897780,-608792565,32,32,-1176690345
-1679501566,1999206078,32,32,319704512
-808302363,-31795040,32,32,-840097403
-1406909666,-820326623,32,32,2067731007
-346806878,-2139644311,32,32,1808516107
-1938990661,-645860389,32,32,1710116246
333810916,894309207,32,32,1228120123
1715274355,-800335467,32,32,914938888
1158460461,812529042,32,32,1970989503
-224049504,-1172318229,32,32,-1396367733
188448303,-1193140003,32,32,-1004691700
136805443,-921260477,32,32,-784455034
-1318357824,1896688378,32,32,578330554
850467091,984335024,32,32,1834802115
-1824087486,-1709070986,32,32,761808824
-1618005094,183883212,32,32,-1434121882
1821072300,-10263841,32,32,1810808459
504686777,1842202982,32,32,-1948077537
-1005157591,865649272,32,32,-139508319
-1007369950,-252605772,32,32,-1259975722
-540618162,1519216524,32,32,978598362
2112384749,-746474483,32,32,1365910266
-1561682836,1334998080,32,32,-226684756
262484467,-927321233,32,32,-664836766
520501194,-1553206588,32,32,-1032705394
-1981068588,1591925850,32,32,-389142738
1987735858,-581339996,32,32,1406395862
246497361,1906397652,32,32,-2142072283
